timestamp,total_tokens
2025-08-01T16:16:30.484631,32103
2025-08-01T16:16:30.676476,32099
2025-08-01T16:16:34.236159,32103
2025-08-01T16:16:36.065840,32135
2025-08-01T16:16:38.485947,32099
2025-08-01T16:16:39.172280,32105
2025-08-01T16:21:21.865269,32105
2025-08-01T16:21:22.253955,32103
2025-08-01T16:21:22.329281,32099
2025-08-01T16:21:25.419106,32103
2025-08-01T16:21:37.815991,32099
2025-08-01T16:21:38.608171,32105
2025-08-01T16:22:24.983234,32103
2025-08-01T16:22:25.265744,32135
2025-08-01T16:22:30.534012,32099
2025-08-01T16:22:32.170284,32103
2025-08-01T16:22:33.785211,32105
2025-08-01T16:22:37.057963,32099
